record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,chunk_load,redstone,afk_time
2025-07-24 21:24:18,25,37,0,9,1,37,8,20,3,3,0,12,12,0,0,3,0,0,8,33,0,0,0,1,53,0,0
2025-07-24 21:24:18,25,37,0,9,1,37,8,20,3,3,0,12,12,0,0,3,0,0,8,33,0,0,0,1,53,0,0
2025-07-28 14:36:22,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,0,0,0,5,0,0,0,0,3,0,0
2025-07-28 14:36:22,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,0,0,0,5,0,0,0,0,3,0,0
2025-07-28 21:43:32,416,693,0,37,1,693,32,0,1,1,0,7,7,0,0,7,0,3,2,104,0,3,0,1,531,0,0
2025-07-28 21:43:32,416,693,0,37,1,693,32,0,1,1,0,7,7,0,0,7,0,3,2,104,0,3,0,1,531,0,0
2025-07-30 16:12:16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,168,0,0
2025-07-30 16:12:16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,168,0,0
2025-07-30 16:42:16,174,292,0,417,36,292,420,0,1,0,0,9,9,0,0,5,0,0,0,835,0,0,0,0,286,0,0
2025-07-30 16:42:16,174,292,0,417,36,292,420,0,1,0,0,9,9,0,0,5,0,0,0,835,0,0,0,0,286,0,0
2025-07-30 19:41:26,99,146,0,692,0,146,698,0,0,0,0,0,0,0,0,2,0,0,0,1043,0,1,0,0,389,0,0
2025-07-30 19:41:26,99,146,0,692,0,146,698,0,0,0,0,0,0,0,0,2,0,0,0,1043,0,1,0,0,389,0,0
2025-07-31 10:08:04,159,215,0,2,0,215,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,33,0,0
2025-07-31 10:08:04,159,215,0,2,0,215,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,33,0,0
2025-07-31 13:26:45,511,999,3,72,0,999,64,0,0,0,0,0,0,0,0,4,0,0,0,272,0,2,0,0,192,0,0
2025-07-31 13:26:45,511,999,3,72,0,999,64,0,0,0,0,0,0,0,0,4,0,0,0,272,0,2,0,0,192,0,0
2025-07-31 13:59:25,4426,4839,12,131,2,4839,130,0,0,0,0,0,0,0,0,1,0,0,0,183,0,1,0,0,375,0,0
2025-07-31 13:59:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0
2025-07-31 15:42:09,17088,433,0,7,1,433,9,0,0,0,0,2,3,0,0,2,1,0,0,12,0,1,1,0,422,0,267
2025-07-31 15:42:09,17088,433,0,7,1,433,9,0,0,0,0,2,3,0,0,2,1,0,0,12,0,1,1,0,422,0,0
2025-07-31 19:41:32,2,6,0,42,1,6,43,0,0,0,0,2,2,0,0,4,0,0,0,51,0,1,0,1,467,0,256
2025-07-31 19:41:32,2,6,0,42,1,6,43,0,0,0,0,2,2,0,0,4,0,0,0,51,0,1,0,1,467,0,256
2025-08-01 17:05:35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,7,0,0
2025-08-01 17:05:35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,7,0,0
2025-08-01 17:12:39,0,0,0,3,3,0,1,0,0,0,0,8,8,0,0,0,0,0,0,8,0,1,0,0,41,0,0
2025-08-01 17:12:39,0,0,0,3,3,0,1,0,0,0,0,8,8,0,0,0,0,0,0,8,0,1,0,0,41,0,0
2025-08-01 18:51:51,1,3,0,4,0,3,10,0,0,0,0,16,16,0,0,4,0,0,0,39,0,1,0,0,83,0,0
2025-08-01 18:51:51,1,3,0,4,0,3,10,0,0,0,0,16,16,0,0,4,0,0,0,39,0,1,0,0,83,0,0
2025-08-01 22:19:30,0,0,0,12,0,0,2,40,0,0,8,27,26,0,0,7,0,0,6,43,0,1,0,3,178,0,0
2025-08-01 22:19:30,0,0,0,12,0,0,2,40,0,0,8,27,26,0,0,7,0,0,6,43,0,1,0,3,178,0,0
2025-08-01 22:49:30,118,351,0,100,0,351,12,0,0,0,0,25,26,0,0,10,0,0,0,251,0,0,0,1,730,0,0
2025-08-01 22:49:30,118,351,0,100,0,351,12,0,0,0,0,25,26,0,0,10,0,0,0,251,0,0,0,1,730,0,0
2025-08-02 11:54:41,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,21,0,0,0,0,31,0,0
2025-08-02 11:54:41,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,21,0,0,0,0,31,0,0
2025-08-02 15:28:47,563,1043,0,384,0,1043,386,0,0,0,2,9,9,0,0,6,0,0,0,876,0,1,0,1,236,0,0
2025-08-02 15:28:47,563,1043,0,384,0,1043,386,0,0,0,2,9,9,0,0,6,0,0,0,876,0,1,0,1,236,0,0
2025-08-02 15:58:47,2081,35,0,1158,1,35,1162,0,0,0,0,43,43,0,0,7,0,0,0,1689,0,0,0,0,661,4,0
2025-08-02 15:58:47,2081,35,0,1158,1,35,1162,0,0,0,0,43,43,0,0,7,0,0,0,1689,0,0,0,0,661,4,0
2025-08-02 16:28:47,188,305,0,730,0,305,703,0,1,0,0,91,91,0,0,7,0,1,0,1416,0,0,0,0,1068,26,0
2025-08-02 16:28:47,188,305,0,730,0,305,703,0,1,0,0,91,91,0,0,7,0,1,0,1416,0,0,0,0,1068,26,0
2025-08-02 19:16:25,44,56,0,883,3,56,893,1,0,0,0,3,3,0,0,11,0,0,0,1458,0,1,0,1,1320,0,0
2025-08-02 19:16:25,44,56,0,883,3,56,893,1,0,0,0,3,3,0,0,11,0,0,0,1458,0,1,0,1,1320,0,0
2025-08-03 11:14:00,33,44,0,303,0,44,301,0,0,0,0,4,4,0,0,4,0,0,0,752,0,1,0,0,1465,0,0
2025-08-03 11:14:00,33,44,0,303,0,44,301,0,0,0,0,4,4,0,0,4,0,0,0,752,0,1,0,0,1465,0,0
2025-08-03 11:44:00,15,28,0,858,0,28,878,0,0,0,0,84,84,0,0,9,0,0,0,1651,0,0,0,0,1766,17,0
2025-08-03 11:44:00,15,28,0,858,0,28,878,0,0,0,0,84,84,0,0,9,0,0,0,1651,0,0,0,0,1766,17,0
2025-08-03 16:51:04,12,14,0,334,0,14,312,0,0,0,0,3,3,0,0,11,0,0,0,688,0,1,0,0,1949,0,0
2025-08-03 16:51:04,12,14,0,334,0,14,312,0,0,0,0,3,3,0,0,11,0,0,0,688,0,1,0,0,1949,0,0
2025-08-03 17:21:04,58,23,0,876,1,23,885,8,0,0,0,63,63,0,0,17,1,0,0,1945,0,0,1,0,2234,0,0
2025-08-03 17:21:04,58,23,0,876,1,23,885,8,0,0,0,63,63,0,0,17,1,0,0,1945,0,0,1,0,2234,0,0
2025-08-04 13:43:58,1,1,0,241,0,1,246,0,0,0,0,4,4,0,0,2,0,0,0,488,0,0,0,0,45,0,0
2025-08-04 13:43:58,1,1,0,241,0,1,246,0,0,0,0,4,4,0,0,2,0,0,0,488,0,0,0,0,45,0,0
2025-08-04 14:05:55,2,3,0,322,0,3,324,0,0,0,0,8,7,0,0,7,0,0,0,793,0,1,0,0,151,3,0
2025-08-04 14:05:55,2,3,0,322,0,3,324,0,0,0,0,8,7,0,0,7,0,0,0,793,0,1,0,0,151,3,0
2025-08-04 14:35:55,16,26,0,654,1,26,674,7,0,0,0,139,140,0,0,20,0,0,0,1735,0,0,0,0,404,59,0
2025-08-04 14:35:55,16,26,0,654,1,26,674,7,0,0,0,139,140,0,0,20,0,0,0,1735,0,0,0,0,404,59,0
2025-08-04 19:44:39,3,4,0,236,0,4,242,0,0,0,0,32,32,0,0,4,0,0,0,810,0,1,0,0,491,0,0
2025-08-04 19:44:39,3,4,0,236,0,4,242,0,0,0,0,32,32,0,0,4,0,0,0,810,0,1,0,0,491,0,0
2025-08-04 19:55:41,0,0,0,276,0,0,277,9,0,0,0,26,25,0,0,7,0,0,0,684,0,1,0,0,552,25,0
2025-08-04 19:55:41,0,0,0,276,0,0,277,9,0,0,0,26,25,0,0,7,0,0,0,684,0,1,0,0,552,25,0
2025-08-05 11:23:58,4,9,0,218,0,9,217,0,0,0,0,8,8,0,0,0,0,0,0,488,0,0,0,0,18,0,0
2025-08-05 11:23:58,4,9,0,218,0,9,217,0,0,0,0,8,8,0,0,0,0,0,0,488,0,0,0,0,18,0,0
2025-08-05 19:46:00,43,61,0,489,0,61,496,34,0,0,0,0,0,0,0,7,0,0,0,1271,0,1,0,0,145,14,0
2025-08-05 19:46:00,43,61,0,489,0,61,496,34,0,0,0,0,0,0,0,7,0,0,0,1271,0,1,0,0,145,14,0
2025-08-05 20:16:00,25,11,0,1053,0,11,819,4,4,0,0,63,63,0,0,19,0,0,0,2284,0,0,0,1,416,0,0
2025-08-05 20:16:00,25,11,0,1053,0,11,819,4,4,0,0,63,63,0,0,19,0,0,0,2284,0,0,0,1,416,0,0
2025-08-06 17:18:35,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,0,0,0,0,3,0,0
2025-08-06 17:18:35,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,0,0,0,0,3,0,0
2025-08-06 19:56:49,186,282,0,1090,0,282,1101,0,0,0,0,0,0,0,0,2,0,0,0,1176,0,1,0,0,170,0,0
2025-08-06 19:56:49,186,282,0,1090,0,282,1101,0,0,0,0,0,0,0,0,2,0,0,0,1176,0,1,0,0,170,0,0
2025-08-06 20:26:49,18,36,0,873,0,36,883,0,0,0,0,3,3,0,0,2,0,0,0,988,0,0,0,0,383,0,0
2025-08-06 20:26:49,18,36,0,873,0,36,883,0,0,0,0,3,3,0,0,2,0,0,0,988,0,0,0,0,383,0,0
2025-08-06 20:56:49,133,204,0,721,0,204,729,0,0,0,0,1,1,0,0,2,0,0,0,797,0,0,0,0,501,0,0
2025-08-06 20:56:49,133,204,0,721,0,204,729,0,0,0,0,1,1,0,0,2,0,0,0,797,0,0,0,0,501,0,0
2025-08-07 16:29:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
2025-08-07 16:29:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
2025-08-08 12:56:20,4,11,0,320,0,11,320,0,0,0,0,0,0,0,0,1,0,0,0,367,0,1,0,0,40,0,0
2025-08-08 12:56:20,4,11,0,320,0,11,320,0,0,0,0,0,0,0,0,1,0,0,0,367,0,1,0,0,40,0,0
2025-08-08 13:52:52,13,23,0,1085,0,23,1100,0,0,0,0,3,3,0,0,6,0,0,0,1200,0,1,0,1,191,0,0
2025-08-08 13:52:52,13,23,0,1085,0,23,1100,0,0,0,0,3,3,0,0,6,0,0,0,1200,0,1,0,1,191,0,0
2025-08-08 17:19:25,21,41,0,1238,0,41,1257,0,0,0,0,2,2,0,0,2,0,0,0,1383,0,1,0,0,320,0,0
2025-08-08 17:19:25,21,41,0,1238,0,41,1257,0,0,0,0,2,2,0,0,2,0,0,0,1383,0,1,0,0,320,0,0
2025-08-09 14:37:31,1,1,0,133,0,1,134,0,0,0,0,0,0,0,0,2,0,0,0,156,0,0,0,0,38,0,0
2025-08-09 14:37:31,1,1,0,133,0,1,134,0,0,0,0,0,0,0,0,2,0,0,0,156,0,0,0,0,38,0,0
