record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-08 03:28:48,389,332,15,0,2,515,155,25,155,1,0,4,174,101,0,0,47,111,2,10,128,1244,14,0,2,15,505,0,0
2025-07-08 05:05:41,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
2025-07-08 06:33:43,281,385,17,0,1,518,209,16,59,1,0,0,308,246,13,14,95,209,2,16,83,1288,2,0,2,17,416,0,0
2025-07-08 08:00:20,289,271,16,0,0,335,233,3,0,0,0,0,31,10,27,27,5,83,1,4,7,1104,0,0,1,16,347,0,0
2025-07-08 13:38:57,1,2,27,0,1,12,0,0,21,0,0,0,10,0,0,0,0,2,0,2,0,18,0,1,0,27,0,0,0
2025-07-08 15:00:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 04:07:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 05:54:26,1111,1268,6,0,0,1599,366,15,120,1,0,3,205,150,4,4,53,24,0,23,237,2439,4,0,0,6,290,9,0
2025-07-09 06:54:32,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2025-07-09 08:46:25,1,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,1,0,1,0,47,0,0,0
2025-07-09 09:46:26,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2025-07-09 10:46:25,345,322,3,6,3,459,108,3,112,1,0,0,67,30,27,27,11,12,0,19,189,936,3,0,0,3,340,0,0
2025-07-09 11:46:25,1664,3994,7,0,2,4314,57,1,82,1,0,0,197,152,51,51,54,43,0,49,135,5900,1,0,0,7,308,0,0
2025-07-09 12:46:28,162,140,10,0,1,244,191,16,61,1,0,0,119,83,0,0,25,74,0,9,46,796,1,0,0,10,304,3,0
2025-07-09 14:08:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 06:07:13,155,85,54,0,1,133,25,3,128,1,0,0,68,47,0,0,23,32,1,3,94,379,2,0,1,54,329,0,0
2025-07-10 08:07:58,693,689,13,0,3,845,73,1,245,1,0,0,113,49,79,79,23,91,3,13,270,1695,3,0,3,13,611,0,0
2025-07-10 09:44:47,0,0,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,59,0,0,0
2025-07-10 11:25:12,15,33,37,0,1,41,0,0,25,1,0,4,68,53,3,3,12,12,0,4,32,192,0,1,0,37,149,0,0
2025-07-10 15:00:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 03:33:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 15:31:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 08:41:55,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,4,0,4,0,5,0,0,0,0,9,0,0
2025-07-14 11:25:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 11:10:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
