record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-23 14:21:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 23:23:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 05:11:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 08:23:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 11:18:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 14:55:26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,0,56485,0,1,0,0,15,0,0
2025-07-24 15:56:55,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,1,0,0,1,0,52109,0,0,0,0,0,0,0
2025-07-24 17:19:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,119100,0,0,0,0,0,0,0
2025-07-24 18:23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125037,0,0,0,0,0,0,0
2025-07-24 19:24:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123475,0,0,0,0,0,0,0
2025-07-24 20:25:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123520,0,0,0,0,0,0,0
2025-07-24 21:25:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116644,0,0,0,0,0,0,0
2025-07-24 22:25:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119217,0,0,0,0,0,0,0
2025-07-24 23:25:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90108,0,0,0,0,0,0,0
2025-07-25 00:26:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121722,0,0,0,0,0,0,0
2025-07-25 01:26:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123051,0,0,0,0,0,0,0
2025-07-25 02:27:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121490,0,0,0,0,0,0,0
2025-07-25 03:27:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120664,0,0,0,0,0,0,0
2025-07-25 05:06:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,118503,0,0,0,0,0,0,0
2025-07-25 06:10:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122857,0,0,0,0,0,0,0
2025-07-25 07:16:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121593,0,0,0,0,0,0,0
2025-07-25 08:30:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126165,0,0,0,0,0,0,0
2025-07-26 10:57:52,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,20468,0,1,0,0,0,0,0
2025-07-26 11:59:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23852,0,0,0,0,0,0,0
2025-07-26 13:05:26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,22274,0,0,0,0,0,0,0
2025-07-26 14:16:05,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24463,0,0,0,0,0,0,0
2025-07-26 15:16:18,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,0,21548,0,0,0,0,0,0,0
2025-07-26 18:00:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-27 07:53:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
