record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-13 15:03:26,14,8,65,0,8,38,1,0,78,2,0,0,139,100,0,0,44,103,0,7,33,298,1,1,0,65,370,0,0
2025-07-13 16:04:40,1,0,0,0,0,29,0,0,8,0,0,0,24,2,0,0,0,61,0,2,0,48,0,0,0,0,10,0,0
2025-07-13 17:49:15,2,0,107,0,3,1,1,0,48,0,0,0,35,19,0,0,19,18,0,0,0,16,0,1,0,107,33,0,0
2025-07-14 03:58:57,338,299,51,0,4,398,300,2,117,1,0,0,162,108,0,0,23,108,0,7,86,1095,3,1,0,51,389,2,0
2025-07-14 05:07:16,359,301,8,0,4,394,455,10,199,1,0,0,178,71,27,27,15,89,1,11,177,1729,8,0,1,8,473,23,0
2025-07-14 06:08:42,25,7,5,0,0,10,4,0,34,1,0,0,44,31,0,0,3,66,0,4,40,140,3,0,0,5,112,0,0
2025-07-14 08:39:20,389,375,3,2,5,434,535,26,106,1,0,0,159,67,0,0,14,25,0,2,105,1564,4,1,0,3,506,2,0
2025-07-14 09:51:44,36,8,6,0,0,31,3,2,99,1,0,0,106,40,0,0,11,75,1,6,0,256,3,0,1,6,177,0,0
2025-07-14 12:19:56,2,0,69,0,0,0,0,0,1,0,0,0,22,11,0,0,2,4,0,0,0,22,0,1,0,69,38,0,0
2025-07-14 14:01:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 16:04:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 17:26:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 04:17:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 05:48:36,2441,3069,70,3,2,3696,548,21,76,1,0,1,339,190,0,0,37,58,3,36,148,6529,5,0,3,70,953,5,0
2025-07-15 07:05:02,79,108,6,0,1,155,66,0,14,1,0,2,67,31,0,0,4,20,0,2,18,433,0,0,0,6,182,0,0
2025-07-15 08:26:15,595,618,1,0,8,942,510,19,20,1,0,0,228,108,4,4,8,69,0,7,23,1848,9,0,0,1,787,25,0
2025-07-15 11:48:14,344,430,79,0,7,518,326,10,64,1,0,0,164,100,0,0,14,24,0,7,14,1307,1,1,0,79,480,12,0
2025-07-15 13:03:56,132,111,1,0,4,142,335,6,19,1,0,0,160,109,0,0,7,2,0,8,0,679,0,0,0,1,218,55,0
2025-07-15 16:12:27,126,145,2,6,1,270,313,3,70,1,0,0,151,36,0,2,10,10,0,13,6,942,1,1,0,2,348,15,0
2025-07-15 17:23:18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-15 23:45:53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
2025-07-16 01:50:40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-07-16 06:56:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-20 14:07:51,529,453,22,0,2,630,517,14,148,1,0,0,164,62,0,0,25,6,0,43,148,2045,10,1,0,22,987,0,0
2025-07-21 13:50:36,316,377,9,0,14,475,954,24,55,1,0,0,368,151,0,0,34,2,0,20,68,2175,6,0,0,9,1140,0,0
2025-07-21 17:03:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-22 04:53:40,540,515,23,0,1,747,26,1,75,1,0,0,222,92,0,0,36,10,0,30,138,1289,12,1,0,23,898,0,0
2025-07-22 09:08:12,124,4,0,0,1,23,43,0,0,0,0,0,69,39,0,0,12,2,0,0,118,834,11,0,0,0,108,0,0
2025-07-22 10:31:01,111,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,112,771,8,0,0,0,0,0,0
2025-07-22 12:47:48,7,6,6,0,1,23,5,0,16,1,0,0,87,52,0,0,12,6,0,2,35,114,4,1,0,6,119,4,0
2025-07-22 14:32:02,680,1041,13,7,10,608,36,8,1304,1,0,0,477,262,0,0,63,99,0,77,92,1441,26,1,0,13,687,0,0
2025-07-22 16:59:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 03:12:37,137,1,0,0,1,40,1,0,0,0,0,0,25,12,0,0,3,2,0,0,132,670,6,0,0,0,44,0,0
2025-07-23 06:26:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 10:19:12,160,106,10,0,1,177,11,1,188,1,0,0,175,98,0,0,37,24,1,27,243,558,10,0,1,10,540,0,0
2025-07-23 11:42:02,204,92,25,0,26,169,280,3,77,1,0,0,273,135,2,2,20,48,1,4,50,1226,7,0,1,25,586,7,0
2025-07-23 15:19:49,1024,1155,4,0,1,1298,370,9,19,1,0,0,264,82,0,0,21,3,0,28,84,2197,4,1,0,4,647,3,0
2025-07-23 17:03:13,472,282,34,0,0,437,16,2,0,0,0,0,46,18,0,0,5,2,0,32,144,1024,24,0,0,34,122,0,0
