record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-23 06:49:29,450,497,102,4,1,689,241,91,122,1,0,13,136,80,0,0,17,15,0,10,183,1521,13,0,0,102,353,4,0
2025-07-24 11:30:19,199,171,5,0,0,263,320,67,193,1,0,0,71,32,0,0,20,55,1,39,199,1162,6,0,1,5,430,0,0
2025-07-24 12:56:35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,60,0,0,0,7,0,0,0,0,4,0,0
2025-07-24 15:02:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-25 05:03:34,220,211,13,0,0,282,123,53,157,1,0,7,85,45,3,4,23,24,0,15,164,1085,4,0,0,13,384,0,0
2025-07-25 06:07:41,44,25,10,0,0,43,95,16,129,1,0,2,51,26,1,1,15,35,1,13,70,427,1,0,1,10,221,0,0
2025-07-25 07:13:42,0,0,0,0,0,2,0,0,5,0,0,0,5,3,0,0,2,3,0,0,0,16,0,0,0,0,14,0,0
2025-07-26 14:39:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 17:24:18,687,735,11,2,0,943,714,168,143,1,0,1,186,114,4,4,28,10,0,11,171,2497,2,0,0,11,486,1,0
2025-07-26 18:42:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-27 07:10:28,141,145,4,0,0,194,446,128,41,1,0,2,98,59,0,0,14,22,0,1,37,1136,0,0,0,4,213,2,0
2025-07-27 08:29:15,387,343,4,0,0,430,552,218,68,1,0,0,68,33,0,0,10,6,0,14,52,1328,1,0,0,4,438,0,0
2025-07-27 10:15:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-27 14:51:42,1072,1649,3,2,0,1928,658,61,107,1,0,2,85,51,0,0,5,37,0,3,128,3106,1,0,0,3,463,2,0
2025-07-28 05:16:25,194,178,15,0,0,258,257,55,191,1,0,3,161,118,7,6,33,103,0,6,139,1078,1,0,0,15,716,0,0
2025-07-28 06:23:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
