record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 02:44:20,270,216,21,0,0,264,11,7,32,1,0,9,131,108,2,2,47,54,1,14,27,498,1,0,1,21,173,0,0
2025-07-07 05:54:57,844,747,22,2,0,1107,765,83,24,1,0,0,267,154,23,23,52,41,0,10,20,2619,1,1,0,22,840,113,0
2025-07-07 10:08:01,309,294,17,0,4,503,135,52,22,1,0,0,283,206,2,2,84,40,1,8,10,1278,3,1,1,17,913,25,0
2025-07-07 12:10:36,556,912,17,0,4,993,342,12,59,1,0,2,300,179,1,1,52,20,0,9,129,5190,9,1,0,17,1072,1,0
2025-07-07 17:46:12,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,2,0,0,60,20417,14,1,0,0,0,0,0
2025-07-07 18:46:12,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,14968,0,0,0,0,0,0,0
2025-07-08 03:33:43,647,744,6,0,1,815,108,7,125,1,0,0,282,206,0,0,51,17,1,31,166,1596,33,1,1,6,768,0,0
2025-07-08 05:11:25,434,676,5,0,0,1053,258,6,12,1,0,2,147,126,26,25,21,0,0,1,60,21171,13,0,0,5,314,5,0
2025-07-08 07:05:35,57,252,5,0,0,560,32,1,3,1,0,0,71,28,0,0,13,8,1,17,218,921,3,1,1,5,974,0,0
2025-07-08 14:44:49,49,36,2,0,0,72,29,0,0,0,0,0,18,12,0,0,1,2,0,0,0,169,1,1,0,2,97,0,0
2025-07-08 15:44:55,478,504,19,0,1,656,897,51,39,1,0,0,251,183,0,0,24,4,1,2,19,2367,2,0,1,19,439,54,0
2025-07-08 16:44:55,291,244,17,2,3,343,497,101,10,1,0,0,252,154,0,0,53,0,0,0,6,1402,2,0,0,17,440,23,0
2025-07-08 18:35:14,727,443,16,0,0,652,732,10,44,1,0,0,187,81,39,38,17,2,0,2,41,2055,3,0,0,16,308,28,0
2025-07-08 19:35:14,578,251,38,0,1,340,472,1,9,1,0,0,128,89,0,1,20,36,0,4,39,8809,15,0,0,38,285,42,0
2025-07-08 20:35:14,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,60,0,0,56,17937,6,0,0,0,0,0,0
2025-07-08 21:35:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,54,18012,5,0,0,0,0,0,0
2025-07-08 22:35:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,66,18008,4,0,0,0,0,0,0
2025-07-08 23:35:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,63,18001,2,0,0,0,0,0,0
2025-07-09 00:35:14,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,60,0,0,58,17740,4,0,0,0,0,0,0
2025-07-09 04:07:53,313,229,4,0,0,274,53,1,95,1,0,0,119,77,0,0,7,7,0,1,8,711,10,1,0,4,134,2,0
2025-07-09 05:07:58,61,49,19,0,0,69,792,4,2,1,0,0,98,48,0,0,5,0,0,0,3,1950,0,0,0,19,272,1,0
2025-07-09 06:08:03,369,321,13,0,0,387,128,7,84,1,0,1,365,263,0,0,38,52,4,21,76,1192,37,0,4,13,607,7,0
2025-07-09 07:08:06,195,319,1,0,0,236,7,0,253,1,0,0,25,14,0,0,5,62,0,0,23,330,3,0,0,1,28,0,0
2025-07-09 08:08:14,485,317,10,0,0,218,157,1,207,1,0,1,259,204,0,0,33,72,1,28,158,1092,18,0,1,10,337,4,0
2025-07-09 09:15:00,444,280,13,0,1,424,3,5,272,1,0,1,216,137,0,0,23,6,1,22,131,1384,15,1,1,13,1270,1,0
2025-07-09 10:15:00,225,133,22,0,0,226,11,6,382,1,0,2,146,74,0,0,19,0,0,46,67,789,11,0,0,22,668,0,0
2025-07-09 12:52:37,14,0,4,0,0,0,140,1,3,1,0,0,72,48,0,0,7,2,0,3,0,333,4,1,0,4,84,0,0
2025-07-09 13:52:53,99,72,12,0,0,130,107,0,61,1,0,1,115,84,0,0,11,0,0,15,17,3287,6,0,0,12,275,0,0
2025-07-09 14:54:16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,113,17605,19,0,0,0,0,0,0
