record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-12 10:15:54,260,261,8,0,0,420,104,12,11,1,0,19,138,105,0,1,52,17,0,0,36,660,4,0,0,8,93,0,0
2025-07-12 11:25:49,108,105,9,0,0,211,113,12,100,1,0,0,192,143,7,7,57,72,0,23,126,672,13,0,0,9,404,0,0
2025-07-12 12:27:51,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0
2025-07-12 13:35:33,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,61,0,1,0,1,0,0,0,0,0,0,0
2025-07-12 14:48:08,248,213,14,0,1,345,227,2,134,1,0,10,109,54,7,7,34,88,2,8,87,992,3,0,2,14,489,0,0
2025-07-12 17:35:56,115,88,2,0,0,113,0,4,113,1,0,0,58,43,1,1,21,13,0,2,86,351,1,1,0,2,166,0,0
2025-07-12 18:53:53,1,0,0,0,0,0,0,0,0,0,0,0,56,42,0,0,3,27,0,0,0,6,2,0,0,0,18,0,0
2025-07-12 19:54:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-12 20:54:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
2025-07-12 21:54:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-12 22:54:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-13 00:00:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-13 01:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
