record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-20 15:07:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 15:29:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 06:38:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 14:35:47,202,145,5,3,0,234,134,5,137,1,0,0,292,166,54,48,8,3,0,18,146,984,9,0,0,5,1136,3,0
2025-07-24 15:39:42,125,50,3,0,0,118,22,1,68,1,0,0,142,61,43,43,5,0,0,1,106,624,10,0,0,3,1268,0,0
2025-07-24 17:50:58,2102,5124,10,5,0,5496,474,9,33,1,7,4,225,69,29,29,7,13,0,59,36,8192,18,1,0,10,670,0,0
2025-07-24 19:42:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-25 08:45:48,823,992,8,0,0,1145,441,12,109,1,0,1,329,175,28,28,20,15,0,17,39,2683,10,0,0,8,560,0,0
2025-07-26 11:50:06,735,509,5,0,0,704,186,3,312,1,6,0,211,107,17,17,11,4,0,23,329,1556,10,1,0,5,758,0,0
2025-07-26 12:55:17,3722,6497,10,0,0,6913,210,13,25,1,19,2,302,168,13,13,11,18,2,200,160,9900,22,0,2,10,688,0,0
2025-07-26 14:07:00,215,326,58,0,0,392,286,3,290,1,0,0,145,57,25,25,29,12,2,18,182,1857,15,0,2,58,1079,0,0
2025-07-26 15:07:37,132,436,115,0,0,514,478,4,151,1,0,0,232,166,8,8,66,16,3,24,111,2673,6,0,3,115,903,0,0
2025-07-27 11:31:30,185,173,2,0,0,219,93,26,2,0,0,3,476,340,8,12,0,4,0,0,8,1049,1,0,0,2,4273,0,0
2025-07-27 13:08:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-28 07:05:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-29 10:20:02,1440,1597,7,9,0,1981,1356,24,72,1,0,1,304,69,23,23,6,3,0,0,32,5080,2,1,0,7,1104,11,0
2025-07-29 12:18:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-31 05:17:01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-31 09:13:20,629,689,2,8,0,941,709,29,41,1,0,27,604,404,26,26,1,6,0,29,46,2768,2,0,0,2,594,6,0
