record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-11 13:39:27,0,0,3,0,0,0,1,0,0,0,0,0,10,2,0,0,2,4,0,0,0,17,1,0,0,3,7,0,0
2025-08-11 14:53:57,94,80,3,0,1,159,14,9,15,1,0,11,101,52,0,0,26,12,0,4,39,267,2,0,0,3,102,0,0
2025-08-11 17:20:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-12 12:00:49,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,5,0,4,0,1,0,0,0,0,0
2025-08-12 13:18:10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0
2025-08-12 14:41:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-13 03:25:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-13 13:09:58,13,14,3,0,0,29,0,0,0,0,0,0,24,6,0,0,11,8,0,1,21,35,2,0,0,3,17,0,0
2025-08-14 08:00:57,25,202,38,0,0,282,9,2,56,1,0,0,85,50,0,0,20,41,1,4,34,586,1,0,1,38,120,0,0
2025-08-14 09:12:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-14 11:15:04,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
2025-08-14 12:49:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-14 15:07:14,27,12,31,0,2,39,16,7,59,1,0,0,225,153,82,82,59,157,0,9,47,439,1,0,0,31,318,4,0
2025-08-15 06:40:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-15 12:28:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-15 17:24:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-16 02:59:20,4,0,0,0,3,3,0,0,1,0,0,0,43,29,0,105,15,9,0,1,0,141,0,1,0,0,4,0,0
2025-08-16 04:06:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-16 05:51:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-16 09:22:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-16 11:15:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
