record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 08:22:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-07 12:16:12,996,875,5,0,0,1217,314,31,246,1,0,19,455,284,3,3,23,28,0,4,752,2667,26,0,0,5,778,1,0
2025-07-07 15:29:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-07 18:00:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-07 20:31:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-08 06:40:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-08 14:41:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-08 18:49:28,554,671,2,3,0,1060,197,12,180,1,0,0,152,90,0,0,16,26,0,8,511,1973,16,0,0,2,553,1,0
2025-07-08 20:21:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 07:17:46,52,2197,4,0,0,3429,59,1,1,1,0,4,341,259,0,0,25,3,0,0,1752,4511,43,0,0,4,414,0,0
2025-07-09 08:17:54,217,3198,6,9,5,4691,166,22,8,1,0,6,374,284,0,0,19,34,0,3,2774,6325,55,0,0,6,296,85,0
2025-07-09 10:26:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 15:02:35,50,2687,10,0,2,4134,282,18,32,1,0,0,317,235,0,0,27,16,0,2,2577,5789,72,1,0,10,664,1,0
2025-07-09 16:02:37,446,404,7,8,4,494,93,20,152,1,0,1,362,250,0,1,16,9,0,24,117,1395,7,0,0,7,630,8,0
2025-07-09 17:02:37,299,296,9,1,3,360,117,10,100,1,0,0,314,234,0,0,31,71,0,3,212,1066,38,0,1,9,911,58,0
2025-07-09 19:17:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 09:00:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 11:22:06,271,216,0,4,1,279,25,20,231,1,0,9,439,291,0,0,11,2,0,26,478,1050,49,1,0,0,783,2,0
2025-07-10 13:31:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 18:13:08,775,497,3,0,4,672,19,7,409,1,0,0,191,102,0,0,14,2,0,0,467,1525,36,0,0,3,405,0,0
2025-07-10 20:03:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 06:18:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 13:02:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 17:49:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 09:40:40,130,36,9,0,1,56,21,39,156,1,0,4,478,358,0,0,48,27,0,5,302,782,42,0,0,9,416,1,0
2025-07-12 10:45:40,703,682,0,0,1,820,273,2,438,1,0,0,81,29,0,0,6,2,0,10,492,1878,37,0,0,0,934,0,0
2025-07-12 12:58:34,232,52,3,0,2,115,4,0,416,1,0,0,82,19,0,0,9,9,0,7,317,632,30,1,0,3,750,0,0
2025-07-12 14:26:03,348,350,3,15,0,458,294,11,79,1,0,0,401,288,0,0,40,76,0,5,31,1316,1,1,0,3,511,1,0
2025-07-12 20:33:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 10:43:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 11:19:48,270,136,2,1,0,205,127,25,292,1,0,0,351,258,3,4,13,7,0,1,418,1065,8,1,0,2,637,23,0
2025-07-14 12:42:03,71,386,4,0,7,604,16,8,42,1,0,0,341,243,0,1,39,8,0,34,467,1303,52,0,0,4,643,0,0
2025-07-14 15:50:05,599,209,4,0,0,346,90,29,467,1,0,0,437,299,0,0,18,2,0,13,1027,1478,18,1,0,4,721,0,0
2025-07-14 17:46:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 06:49:55,519,322,14,0,3,411,117,7,191,1,0,0,289,191,2,2,44,52,0,6,207,1218,25,0,0,14,1007,0,0
2025-07-15 08:10:24,210,207,9,0,0,289,25,4,99,1,0,0,185,82,0,0,71,9,0,2,20,770,1,0,0,9,3419,0,0
2025-07-15 09:37:33,130,85,9,0,3,110,33,29,74,1,0,0,600,409,0,0,40,87,0,52,356,800,10,0,1,9,1457,0,0
2025-07-15 11:15:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 09:53:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-20 14:03:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 13:57:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
