record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 04:31:32,0,1,3,0,0,2,3,0,0,0,0,2,10,5,0,0,8,6,0,0,3,20,1,1,0,3,5,0,0
2025-07-07 06:43:09,1049,795,2,0,0,1059,365,2,1,0,0,0,31,23,0,0,0,4,0,1,0,1675,0,1,0,2,132,0,0
2025-07-07 09:47:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-07 15:59:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-08 14:04:43,1151,952,6,0,0,1217,395,2,61,1,0,2,102,70,0,0,14,12,0,2,87,2162,2,0,0,6,373,0,0
2025-07-08 15:58:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 04:23:01,658,623,4,0,0,846,172,8,48,1,0,2,72,54,20,21,13,8,0,1,243,1280,2,0,0,4,358,0,0
2025-07-09 05:23:06,323,351,2,0,0,403,95,3,40,1,0,0,56,38,42,41,2,2,0,0,71,709,0,0,0,2,177,0,0
2025-07-09 06:23:12,0,5,1,0,0,26,0,0,5,0,0,0,7,4,0,0,3,62,0,0,0,45,0,0,0,1,25,0,0
2025-07-09 07:23:17,0,0,5,0,0,0,0,0,0,0,0,0,5,1,0,0,2,68,0,0,0,2,0,0,0,5,25,0,0
2025-07-09 08:23:22,1344,1360,4,0,0,1818,316,0,16,1,0,0,31,17,0,0,8,66,0,0,18,2721,0,0,0,4,193,0,0
2025-07-09 09:35:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 16:29:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 02:25:57,584,479,22,0,0,659,66,1,48,1,0,0,92,71,0,0,27,45,0,6,48,1008,3,0,0,22,185,0,0
2025-07-10 04:18:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 13:49:32,1355,1061,14,0,0,1431,476,2,26,1,0,0,64,42,0,0,6,6,0,0,57,2382,1,0,0,14,307,0,0
