record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 04:49:59,403,344,1,0,0,520,192,26,198,1,0,18,167,121,0,0,1,3,0,10,274,1221,5,0,0,1,308,12,0
2025-07-07 08:22:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-07 10:25:42,779,724,8,0,0,972,367,41,71,1,0,8,399,283,15,14,22,55,0,3,118,2017,22,0,0,8,575,72,0
2025-07-07 12:07:09,134,37,2,0,0,163,31,6,1667,1,0,2,93,59,17,18,11,63,0,1,578,368,14,0,0,2,25,1,0
2025-07-07 14:25:32,794,929,10,0,0,1215,265,26,627,1,0,52,473,361,0,0,19,59,1,2,498,2451,19,0,1,10,558,119,0
2025-07-07 15:56:59,1301,1275,9,1,0,1650,191,15,313,1,0,52,361,231,3,4,15,91,0,60,1220,2906,32,0,0,9,1032,0,0
2025-07-07 18:19:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-08 03:31:15,547,545,23,0,0,673,179,19,119,1,0,4,291,197,0,0,46,79,0,79,592,1773,23,0,0,23,1211,0,0
2025-07-08 05:08:33,516,575,20,1,3,760,392,24,237,1,0,0,300,156,2,2,24,70,1,29,422,2406,31,0,1,20,2098,9,0
2025-07-08 06:35:52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,6,0,0,0,0,0,0,0
2025-07-08 08:03:24,124,84,1,1,0,96,148,8,0,0,0,1,235,175,0,0,7,62,0,2,29,465,7,0,0,1,94,46,0
2025-07-08 14:50:31,274,373,10,2,0,443,715,29,285,1,0,0,257,152,0,0,6,15,0,5,460,1875,32,1,0,10,469,5,0
2025-07-08 16:46:02,2340,4012,17,0,0,4268,186,17,65,1,0,1,312,208,0,0,32,62,0,27,287,7449,21,1,0,17,453,0,0
2025-07-08 20:07:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 05:51:50,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,7,0,0,0,3,0,0,0,0,5,0,0
2025-07-09 06:51:56,227,198,3,0,0,254,1,3,153,1,0,3,61,30,0,0,10,22,0,30,225,486,16,0,0,3,246,0,0
2025-07-09 07:52:06,265,163,12,0,0,216,49,4,333,1,0,7,136,65,1,1,26,104,0,14,182,550,6,0,0,12,754,0,0
2025-07-09 08:56:33,183,216,34,0,0,295,98,5,106,1,0,0,59,7,0,0,13,8,0,30,42,693,2,1,0,34,527,0,0
2025-07-09 09:56:33,712,857,2,0,0,1236,669,10,167,1,0,1,92,16,3,3,5,1,0,51,127,2675,3,0,0,2,985,0,0
2025-07-09 10:56:33,1117,1165,77,0,0,1534,1176,55,140,1,0,3,158,80,0,0,5,0,0,18,133,3328,3,0,0,77,628,0,0
2025-07-09 12:40:53,481,464,8,0,0,538,370,17,124,1,0,6,177,116,0,0,18,23,1,6,63,1257,9,1,1,8,490,0,0
2025-07-09 13:49:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 06:06:42,38,27,5,0,0,43,10,0,0,0,0,0,60,36,0,0,6,12,0,0,21,95,5,0,0,5,94,0,0
2025-07-10 07:07:22,221,267,19,3,0,356,60,10,126,1,0,1,211,112,0,0,25,14,0,44,119,842,16,0,0,19,729,2,0
2025-07-10 08:07:27,314,364,20,11,0,432,173,6,175,1,0,1,226,148,0,0,28,56,0,4,254,1467,31,0,0,20,1160,65,0
2025-07-10 09:07:27,197,55,9,0,0,102,28,2,725,1,0,0,110,35,0,0,7,72,0,26,239,631,26,0,0,9,1704,0,0
2025-07-10 10:07:48,11,8,9,0,0,8,0,22,4,0,0,0,148,118,0,0,13,86,0,0,69,128,22,0,0,9,165,0,0
2025-07-10 11:08:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 12:08:47,4,3,1,0,0,3,0,0,0,0,0,0,8,6,0,0,1,61,0,1,0,16,0,0,0,1,16,0,0
2025-07-10 13:10:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 14:46:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 10:27:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-21 20:16:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
