record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-07 12:20:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-07 14:30:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 14:38:26,468,148,7,0,2,279,280,8,723,1,0,0,265,161,2,2,36,10,1,18,188,1268,19,0,1,7,660,0,0
2025-08-08 15:41:26,171,194,4,5,1,257,170,14,41,1,0,0,152,77,4,4,11,5,0,6,32,888,3,0,0,4,780,4,0
2025-08-08 17:20:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 05:02:44,139,413,13,0,3,783,67,7,13,1,0,0,231,133,27,27,55,110,0,4,0,1127,0,0,0,13,263,9,0
2025-08-09 06:02:44,247,182,4,0,0,255,197,25,47,1,0,0,165,72,1,1,7,69,1,33,16,1051,0,0,1,4,333,2,0
2025-08-09 07:02:44,144,45,24,0,3,149,120,18,1640,1,0,0,283,145,1,1,57,90,0,6,1680,1010,155,0,0,24,204,10,0
2025-08-09 08:03:54,630,1086,12,0,2,1281,373,20,201,1,0,2,258,150,5,6,29,85,3,13,628,2729,47,0,3,12,397,7,0
2025-08-09 09:07:28,2,0,2,0,0,0,0,0,0,0,0,0,14,4,0,0,4,64,0,1,0,5,0,0,0,2,11,0,0
2025-08-09 10:30:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 15:06:31,785,1148,1,0,0,1362,648,16,31,1,0,0,253,149,0,0,5,9,0,8,22,3049,3,0,0,1,528,0,0
2025-08-10 10:30:49,102,207,6,0,0,263,56,7,377,1,0,0,345,257,0,0,44,10,0,2,223,846,25,0,0,6,258,0,0
2025-08-10 11:30:48,29,41,1,0,0,50,97,7,0,0,0,0,27,13,0,0,1,3,0,1,0,234,0,0,0,1,81,0,0
2025-08-10 12:31:59,468,498,11,0,0,685,142,14,599,1,0,1,272,178,0,0,10,0,0,17,571,1422,45,0,0,11,417,0,0
2025-08-10 14:01:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-11 15:40:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-13 14:49:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
