record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-08 13:15:20,10,0,5,0,0,0,0,0,0,0,0,0,10,3,0,0,2,10,0,3,0,8,0,0,0,5,21,0,0
2025-07-08 15:23:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-08 21:12:20,67,2,4,0,0,1772,35,0,4073,1,0,0,34,20,0,0,3,2,0,0,4483,1855,50,1,0,4,124,0,0
2025-07-08 22:12:20,7,0,0,0,0,1780,0,0,4301,1,0,0,0,0,0,0,0,0,0,0,4776,1780,34,0,0,0,0,0,0
2025-07-08 23:12:21,0,0,0,0,0,1923,0,0,3580,1,0,0,0,0,0,0,0,0,0,0,3935,1923,22,0,0,0,0,0,0
2025-07-09 00:12:20,0,0,0,0,0,2071,0,0,2651,1,0,0,0,0,0,0,0,0,0,0,2914,2071,15,0,0,0,0,0,0
2025-07-09 01:12:20,0,0,0,0,0,2958,0,0,612,1,0,0,0,0,0,0,0,0,0,0,671,2958,3,0,0,0,0,0,0
2025-07-09 04:30:10,0,0,0,0,0,1685,0,0,4302,1,0,0,0,0,0,0,0,2,0,0,4747,1685,22,0,0,0,0,0,0
2025-07-09 05:30:11,0,0,0,0,0,1794,0,0,3778,1,0,0,0,0,0,0,0,0,0,0,4219,1794,17,0,0,0,0,0,0
2025-07-09 06:30:16,14,0,0,0,0,1289,0,0,2610,1,0,0,23,17,0,0,2,18,0,0,2854,1305,11,0,0,0,0,0,0
2025-07-09 08:36:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 14:39:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 17:55:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 19:54:01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0
2025-07-10 05:58:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 07:10:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 10:27:05,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0
2025-07-10 11:27:57,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 12:29:02,0,2,2,0,0,2,2,0,0,0,0,0,2,0,0,0,1,4,1,0,0,7,0,0,1,2,10,0,0
2025-07-10 13:30:06,0,4,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,16,0,0
2025-07-10 14:30:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0
2025-07-10 15:30:43,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,1,2,0,0,18,2,0,0,0,2,2,0,0
2025-07-10 16:33:14,0,2,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,22,0,0
2025-07-10 18:12:38,0,0,3,0,0,0,2,0,0,0,0,0,4,2,0,0,4,18,0,1,0,7,0,0,0,3,15,0,0
2025-07-10 19:12:37,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,6,0,0
2025-07-10 20:12:38,0,2,2,0,0,2,2,0,0,0,0,0,1,0,0,0,1,4,0,0,0,6,0,0,1,2,5,0,0
2025-07-10 22:07:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 11:26:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 11:57:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 18:14:57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 13:40:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
