record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-12 04:09:05,605,692,158,1,0,1249,61,20,102,1,0,7,91,60,0,0,19,34,0,2,165,1808,12,0,0,158,260,13,0
2025-07-12 05:53:57,45,38,187,0,1,77,1,0,4,1,0,0,3,0,0,0,0,3,0,2,1,156,0,1,0,187,1467,0,0
2025-07-12 09:56:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 12:40:54,425,367,5,5,0,422,150,18,316,1,0,3,135,44,17,16,6,2,0,90,282,1356,19,0,0,5,642,3,0
2025-07-13 14:02:23,746,947,3,0,0,1196,322,23,101,1,0,2,155,74,22,23,2,2,0,16,115,2392,2,1,0,3,325,59,0
2025-07-13 15:13:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 16:46:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 02:38:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 06:21:57,315,1152,48,0,0,596,55,23,772,1,0,3,194,128,15,15,24,41,0,30,86,1100,6,1,0,48,364,2,0
2025-07-14 08:23:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 12:44:34,212,173,6,0,0,247,48,12,78,1,0,0,121,69,0,0,48,93,0,33,62,632,3,0,0,6,423,7,0
2025-07-14 14:38:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
