record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-21 09:27:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-21 13:02:12,1087,1007,33,0,5,1416,664,65,75,1,0,5,733,490,10,8,71,10,1,11,82,3329,15,0,1,33,812,15,0
2025-07-21 15:00:28,1062,1046,30,0,6,1387,1257,54,76,1,0,1,532,274,0,0,64,71,1,34,87,3866,9,0,1,30,1090,232,0
2025-07-21 17:03:35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-22 04:25:55,615,460,19,0,2,580,62,9,22,1,0,1,401,289,0,0,52,15,1,7,10,1384,7,0,1,19,360,4,0
2025-07-22 09:08:48,73,0,51,0,0,0,0,2,1,1,0,0,35,27,0,0,9,6,1,0,69,194,7,0,1,51,23,0,0
2025-07-22 10:31:22,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,18,56,3,0,0,0,0,0,0
2025-07-22 13:21:32,1482,1858,13,1,0,2333,1128,13,25,1,0,18,341,226,0,0,23,3,0,2,165,5080,47,1,0,13,436,5,0
2025-07-22 14:38:34,678,783,25,2,2,813,1869,64,18,1,0,0,475,266,0,0,55,0,0,1,40,3526,4,0,0,25,460,635,0
2025-07-22 17:18:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 10:45:47,119,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,7,166,564,16,1,0,0,0,0,0
2025-07-23 12:28:09,108,31,20,0,0,86,40,6,51,1,0,1,257,177,0,0,32,81,1,1,86,513,27,1,1,20,552,1,0
2025-07-23 13:59:13,671,831,20,1,2,1021,1195,39,27,1,0,0,418,202,0,2,31,89,0,22,27,3106,12,0,0,20,740,3,0
2025-07-23 15:22:36,2689,3833,23,0,0,4078,708,29,8,0,0,1,490,345,0,0,42,86,0,9,62,6252,5,0,0,23,509,521,0
2025-07-24 00:30:47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-29 03:44:55,378,573,10,0,3,156,209,18,1,0,0,0,346,259,4,0,18,14,0,8,23,11774,7,0,0,10,175,30,0
2025-07-29 05:10:32,1462,3992,9,0,0,859,381,15,16,1,0,0,139,36,0,0,14,10,0,13,46,6631,4,0,0,9,463,6,0
2025-07-29 07:42:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-29 10:25:59,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,146,31872,5,0,0,0,2,0,0
2025-07-29 14:30:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-30 06:08:16,121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,122,504,6,0,0,0,0,0,0
2025-07-30 08:15:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-30 11:55:57,9,92,2,0,0,138,0,0,10,1,0,0,26,14,0,0,5,4,0,0,14,233,1,1,0,2,105,0,0
2025-07-30 13:26:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
2025-07-30 15:15:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-31 12:35:30,1473,2992,46,0,3,691,671,46,9,1,0,0,486,275,0,0,30,24,0,14,12,2149,1,0,0,46,657,230,0
2025-07-31 15:46:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 07:29:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-13 14:50:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
