record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 01:49:36,1002,929,4,0,0,1344,351,7,486,1,0,3,316,276,0,0,32,3,0,96,612,3126,13,0,0,4,641,2,0
2025-07-07 02:55:26,24,7,4,0,3,95,6,7,5487,1,0,0,341,291,0,0,16,41,0,23,7117,745,273,1,0,4,222,0,0
2025-07-07 04:05:38,604,764,9,0,6,931,230,31,2279,1,0,2,531,440,4,4,46,82,1,152,2478,2360,126,0,1,9,559,1,0
2025-07-07 05:07:51,296,282,13,0,5,374,111,19,95,1,0,0,384,312,0,0,50,95,4,21,199,1071,51,0,4,13,571,31,0
2025-07-07 06:28:12,1449,1401,4,0,2,1907,421,21,913,1,0,0,464,376,0,0,23,71,0,69,1309,3708,59,0,0,4,933,127,0
2025-07-07 08:25:36,1130,1267,16,0,7,1676,499,21,68,1,0,0,239,136,15,15,30,9,0,37,347,3419,15,1,0,16,1531,27,0
2025-07-07 09:53:52,742,582,37,0,14,563,121,7,267,1,0,0,280,186,0,0,55,38,2,97,1948,1693,70,0,2,37,1511,0,0
2025-07-07 11:27:07,1225,1127,7,1,4,1431,484,8,1268,1,0,0,399,301,0,0,32,14,1,79,2641,3537,120,0,1,7,1243,2,0
2025-07-07 16:03:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-08 04:05:43,1080,1351,18,0,2,1691,90,70,172,1,0,0,443,384,2,2,49,44,2,46,12,3137,5,0,2,18,1174,0,0
2025-07-08 06:00:42,770,841,18,1,6,1037,54,12,394,1,0,0,289,184,4,4,57,10,0,216,1125,2847,34,1,0,18,1855,9,0
2025-07-08 07:24:58,807,467,0,0,0,491,37,4,28,1,0,0,321,285,0,1,17,0,0,201,22,1468,0,0,0,0,211,24,0
2025-07-08 13:07:34,54,25,35,0,0,67,42,1,278,1,0,0,48,31,0,0,7,2,0,34,62,548,1,0,0,35,551,2,0
2025-07-08 14:49:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 13:41:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 14:59:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 16:43:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 03:10:46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 04:58:33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 08:06:57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 10:00:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 01:51:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 07:37:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 09:04:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 05:02:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 07:44:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 13:21:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 07:59:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 11:00:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 12:30:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 07:38:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 12:48:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 14:58:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-21 13:36:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 11:29:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
