record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-08 06:57:22,725,1077,33,0,0,1587,81,19,272,1,0,25,166,95,0,1,30,55,0,26,308,2179,8,0,1,33,639,0,0
2025-07-09 08:13:27,191,162,215,0,0,299,17,13,33,1,0,0,160,115,3,3,50,132,0,20,46,525,0,0,2,215,318,0,0
2025-07-09 10:15:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 05:09:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 06:14:13,292,272,222,0,0,505,46,2,63,1,0,0,100,55,0,1,30,62,0,4,187,756,2,0,2,222,454,0,0
2025-07-10 07:14:53,72,76,35,2,0,180,21,9,58,1,0,0,113,82,0,0,28,39,0,5,70,342,2,0,0,35,212,0,0
2025-07-10 08:14:58,158,203,25,0,0,319,104,1,144,1,0,0,130,81,0,0,36,62,0,8,227,763,2,0,2,25,413,0,0
2025-07-10 09:14:58,33,19,40,0,0,41,9,0,51,1,0,0,106,61,0,0,22,125,0,19,25,259,6,0,1,40,307,1,0
2025-07-10 10:38:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 14:07:40,255,281,28,0,2,439,221,7,157,1,0,2,161,68,14,15,11,18,0,41,145,1330,6,1,1,28,494,5,0
2025-07-10 15:07:40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2025-07-10 16:34:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 01:53:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 05:57:11,0,0,59,0,0,2,0,0,0,0,0,0,8,3,0,0,2,7,0,0,0,4,0,0,0,59,20,0,0
2025-07-11 07:43:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 08:56:12,128,136,297,0,1,219,132,4,448,1,0,0,63,19,5,6,6,22,0,10,237,738,4,0,1,297,843,1,0
2025-07-11 10:46:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 12:36:12,5,11,7,0,0,18,6,0,0,0,0,0,25,5,0,0,4,14,0,4,0,39,0,1,1,7,45,0,0
2025-07-11 14:56:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 17:07:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 03:38:44,0,0,76,0,0,0,0,0,1,0,0,0,10,2,0,0,2,7,0,1,0,4,0,0,0,76,32,0,0
2025-07-12 05:23:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
