record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 10:22:02,406,448,197,0,0,739,259,21,77,1,0,0,44,6,7,8,15,22,4,19,68,1783,8,0,4,197,459,0,0
2025-07-09 11:52:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 10:21:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 10:58:38,309,933,24,0,0,1077,366,10,35,1,0,5,106,31,5,5,4,50,1,22,58,3272,1,0,1,24,836,0,0
2025-07-13 12:26:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 10:57:26,404,601,13,0,0,724,307,14,57,1,0,0,124,19,12,11,3,36,3,106,105,1839,2,0,3,13,588,2,0
2025-07-14 12:14:26,113,93,5,0,0,220,62,5,23,1,0,0,40,9,3,3,3,12,1,8,13,615,0,0,1,5,764,0,0
2025-07-14 15:15:04,33,9,3,0,0,76,9,7,96,1,0,0,50,18,2,2,4,16,2,3,39,366,4,1,2,3,212,0,0
2025-07-14 17:32:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 16:25:59,417,388,104,0,0,655,422,13,201,1,0,0,90,17,0,0,18,38,6,31,132,1877,3,0,6,104,825,0,0
2025-07-15 17:37:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 14:13:38,416,731,150,0,0,898,373,23,4,1,0,0,80,17,2,3,1,18,1,19,14,2076,0,0,1,150,428,0,0
2025-07-16 15:25:40,150,708,9,3,0,895,85,5,83,1,0,0,95,39,4,3,6,20,3,75,58,1803,1,0,3,9,939,1,0
2025-07-20 09:07:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-22 15:25:22,209,785,80,27,0,1180,160,60,77,1,0,0,133,72,9,9,7,2,0,27,79,1895,4,0,0,80,742,27,0
2025-07-22 17:35:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 12:17:41,112,133,5,0,0,230,84,0,162,1,0,0,54,19,0,0,15,2,0,4,55,637,2,0,0,5,1224,0,0
2025-07-23 13:47:34,371,175,14,0,0,263,319,2,49,1,0,0,61,19,0,0,15,8,2,3,25,742,1,0,2,14,393,0,0
2025-07-23 15:14:28,95,7,7,0,0,85,9,10,410,1,0,0,310,232,2,2,7,0,0,108,835,531,49,0,0,7,163,0,0
2025-07-23 17:24:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 13:14:07,167,204,3,0,0,339,64,3,165,1,0,0,62,12,4,4,5,2,0,45,278,717,10,0,0,3,686,0,0
2025-07-24 14:32:42,212,607,12,0,0,1150,42,1,118,1,0,0,116,49,2,2,7,0,0,67,56,1706,4,0,0,12,1336,0,0
2025-07-24 15:37:17,455,602,21,1,0,732,732,64,61,1,0,2,158,67,1,1,13,0,0,77,25,2119,4,0,0,21,736,12,0
2025-07-24 17:32:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-25 05:03:28,931,955,6,12,0,1155,368,19,49,1,0,0,100,46,2,2,7,2,0,82,38,2181,2,0,0,6,418,3,0
