record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-27 18:03:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-28 08:16:51,1112,1186,1,0,0,1798,117,52,97,1,0,1,54,25,0,0,4,8,0,13,102,2274,8,0,0,1,391,6,0
2025-07-28 09:18:26,885,1124,24,0,0,2147,228,21,106,1,0,5,49,16,0,0,0,0,0,16,56,2984,3,0,0,24,609,2,0
2025-07-28 10:23:19,228,174,13,1,0,281,710,2,38,1,0,1,104,64,0,0,62,43,2,26,12,1356,1,0,2,13,281,0,0
2025-07-28 12:00:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-28 14:17:28,2284,2748,2,0,1,4262,2544,35,218,1,0,0,66,23,0,0,2,2,0,4,69,8968,5,0,0,2,569,0,0
2025-07-28 17:26:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-29 03:33:42,318,586,1,0,1,705,846,110,60,1,0,3,70,51,0,0,21,66,1,0,62,1918,3,1,1,1,256,0,0
2025-07-29 05:09:59,563,820,1,0,0,1032,717,33,18,1,0,1,45,11,0,0,1,6,1,0,18,2035,1,0,1,1,308,0,0
2025-07-29 07:53:45,1716,2085,13,0,1,2645,636,18,45,1,0,0,83,36,0,0,18,32,4,31,32,4419,15,1,4,13,460,0,0
2025-07-29 09:32:47,1219,1149,3,0,2,1470,621,180,37,1,0,0,89,50,0,0,10,39,1,21,15,2891,10,0,2,3,432,0,0
2025-07-29 11:17:19,1230,6251,8,0,3,7413,1431,274,4,0,0,0,152,99,0,0,45,87,3,525,0,12225,4,0,2,8,513,0,0
2025-07-29 14:51:07,555,662,20,0,2,705,1105,212,2,1,0,0,124,47,0,0,29,18,3,23,234,2222,9,1,3,20,387,0,0
2025-07-30 05:04:20,290,341,1,0,0,442,923,158,28,1,0,0,50,21,0,0,4,9,1,0,6,1836,1,0,1,1,300,0,0
2025-07-30 06:13:08,134,134,0,0,1,159,1087,388,7,1,0,0,35,18,0,0,0,0,1,1,8,1493,0,0,0,0,442,0,0
2025-07-30 07:23:13,214,245,6,0,1,283,685,86,6,1,0,0,44,26,0,0,10,17,0,0,4,1352,0,0,1,6,261,0,0
2025-07-30 08:35:58,169,166,5,0,2,202,724,138,9,1,0,0,84,52,0,0,20,79,1,1,11,1168,2,0,1,5,332,0,0
2025-07-30 09:47:44,367,301,2,0,3,416,836,241,49,1,0,0,109,65,0,0,17,74,1,22,26,1759,3,0,1,2,480,8,0
2025-07-30 11:03:53,1052,1919,7,0,1,3215,829,21,2,1,0,0,45,18,0,0,16,6,1,1,1,4974,6,1,1,7,319,0,0
2025-07-30 12:25:32,2125,3206,4,0,0,3939,3106,36,115,1,0,0,63,11,0,0,10,0,0,17,104,9549,8,0,0,4,587,0,0
2025-07-31 02:07:23,640,719,12,0,6,849,401,92,27,1,0,2,79,36,0,0,10,10,0,0,539,1739,18,0,0,12,315,0,0
2025-07-31 15:35:33,428,443,8,0,1,491,465,0,14,1,0,0,61,24,0,0,3,10,0,25,252,1150,13,1,0,8,398,0,0
2025-08-01 06:36:07,461,406,11,0,0,622,261,97,22,1,0,0,67,29,0,0,15,31,5,0,194,1156,4,1,5,11,597,0,0
2025-08-01 08:26:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-01 11:34:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 15:25:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 15:56:26,478,503,50,0,0,621,1235,352,12,1,0,0,84,52,0,0,17,15,2,0,3,2546,1,0,2,50,451,0,0
2025-08-03 17:27:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 09:17:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 15:21:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
