record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-15 17:38:03,41,146,6,0,0,396,1,0,86,1,0,0,49,7,0,0,12,6,0,4,32,479,10,0,0,6,179,0,0
2025-07-15 18:47:52,476,601,2,0,1,1203,152,11,108,1,0,0,152,78,0,0,21,0,0,10,66,2447,6,0,0,2,587,6,0
2025-07-15 19:58:11,239,901,0,0,0,1385,82,0,1215,1,0,0,25,9,0,0,0,0,0,12,172,1708,11,0,0,0,207,4,0
2025-07-15 20:58:15,287,532,0,0,0,833,1,0,238,1,0,0,9,0,0,0,0,0,0,0,43,940,1,0,0,0,95,0,0
2025-07-15 23:12:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 08:17:30,942,1116,0,0,0,1791,129,0,394,1,0,0,55,20,0,0,7,2,0,6,126,2290,5,0,0,0,303,4,0
2025-07-16 09:38:58,1940,2127,2,0,0,2928,276,3,312,1,0,0,126,71,0,0,0,0,0,9,110,4654,7,0,0,2,486,0,0
2025-07-16 14:52:04,1912,1327,0,0,0,1692,202,4,976,1,0,0,71,24,0,0,3,2,0,48,247,2938,9,0,0,0,430,0,0
2025-07-20 09:10:34,307,355,67,0,0,466,136,2,344,1,0,0,109,40,0,0,17,44,0,11,155,927,9,0,0,67,487,3,0
2025-07-20 10:29:34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-20 17:12:57,22,23,5,0,0,53,37,14,457,1,0,1,71,45,0,0,4,4,0,7,139,179,24,0,0,5,204,3,0
2025-07-20 19:04:53,7,0,1,0,0,5,0,0,274,1,0,0,13,6,0,0,10,6,0,2,86,9,4,1,0,1,40,0,0
2025-07-21 08:31:06,1110,1025,112,2,0,1132,681,24,208,1,0,0,275,186,0,13,16,12,1,1,231,3446,6,0,1,112,1315,7,0
2025-07-21 11:54:16,1,1,5,0,0,1,3,3,37,1,0,3,39,37,0,0,1,2,0,0,91,49,2,0,0,5,22,3,0
2025-07-21 13:44:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0
2025-07-21 15:44:56,4,2,23,0,0,11,33,0,253,1,0,0,50,40,0,0,6,3,0,3,173,197,3,0,0,23,262,0,0
2025-07-21 17:20:19,1158,657,3,0,0,779,52,33,159,1,0,0,106,79,0,0,23,66,0,16,102,1847,3,0,0,3,305,0,0
2025-07-21 18:49:16,1,1,1,0,0,1,6,0,168,1,0,0,24,12,0,0,4,64,0,1,128,94,1,0,0,1,104,0,0
2025-07-21 20:16:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-21 21:46:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-21 23:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-22 00:52:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-22 02:24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-22 03:30:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-07-22 04:48:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
2025-07-22 09:03:50,0,0,14,0,0,17,0,0,659,1,0,0,6,4,0,0,0,2,0,0,197,42,3,0,0,14,102,0,0
2025-07-22 10:35:13,363,281,3,0,0,402,7,0,86,1,0,1,33,23,0,0,10,11,1,0,28,446,1,1,1,3,84,0,0
2025-07-22 11:56:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-22 14:41:31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-22 16:04:08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-22 17:48:55,316,76,72,0,0,91,232,0,323,1,0,0,121,106,0,0,5,2,0,6,115,954,2,1,0,72,480,0,0
