record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-30 13:05:16,441,313,22,0,6,399,88,0,1,0,0,0,173,140,0,0,77,44,0,0,0,874,1,0,0,22,372,0,0
2025-07-30 14:24:36,0,0,4,0,0,0,0,0,0,0,0,0,24,17,0,0,14,83,0,14,0,10,0,0,0,4,23,0,0
2025-07-30 15:55:14,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2025-08-04 05:54:26,0,0,6,0,0,0,0,0,0,0,0,0,44,33,0,0,15,18,0,0,0,12,1,0,0,6,9,0,0
2025-08-04 06:54:25,328,212,2,0,0,250,15,0,8,0,0,0,18,6,0,0,6,49,0,1,0,630,0,0,0,2,53,0,0
2025-08-04 09:29:28,255,202,6,4,7,221,16,2,0,0,0,0,95,55,0,0,54,77,0,3,91,8633,4,1,0,6,197,4,0
2025-08-04 10:29:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,219,18023,7,0,0,0,0,0,0
2025-08-04 11:29:28,0,6,2,0,0,9,3,0,0,0,0,0,46,33,0,0,16,65,0,24,204,16448,5,0,0,2,19,0,0
2025-08-04 12:29:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,221,18038,5,0,0,0,0,0,0
2025-08-04 13:29:29,66,2184,11,1,1,630,231,1,25,1,0,0,231,162,0,0,67,127,2,61,96,2591,0,0,2,11,919,22,0
2025-08-04 14:30:22,168,402,6,0,2,219,2,0,43,1,0,0,48,20,0,0,19,72,0,19,197,10063,5,0,0,6,890,0,0
2025-08-04 15:30:30,46,4236,9,1,2,651,13,0,1383,1,0,0,114,87,0,0,56,76,0,62,403,6910,5,0,0,9,452,1,0
2025-08-04 17:57:52,38,0,1,0,3,63,0,0,85425,1,0,0,31,2,0,0,13,4,0,48,23837,82,75,0,0,1,4,0,0
2025-08-04 19:05:11,61,2,1,0,0,41,0,0,36102,1,0,0,11,2,0,0,6,3,0,32,15781,69,56,1,0,1,2,0,0
2025-08-04 20:05:10,0,1,0,0,0,10,0,0,76570,1,0,0,0,0,0,0,0,0,0,0,22870,159,37,0,0,0,0,0,0
2025-08-04 21:05:10,0,0,0,0,0,0,0,0,123290,1,0,0,0,0,0,0,0,0,0,0,32136,0,26,0,0,0,0,0,0
2025-08-04 22:05:10,0,0,0,0,0,0,0,0,117754,1,0,0,0,0,0,0,0,0,0,0,31727,0,23,0,0,0,0,0,0
2025-08-04 23:05:10,0,0,0,0,0,0,0,0,110052,1,0,0,0,0,0,0,0,1,0,0,30549,7,22,0,0,0,0,0,0
2025-08-05 00:05:10,0,0,0,0,0,0,0,0,21507,1,0,0,0,0,0,0,0,0,0,0,14777,118,33,0,0,0,0,0,0
2025-08-05 01:05:10,0,0,0,0,0,0,0,0,21126,1,0,0,0,0,0,0,0,0,0,0,14556,113,29,0,0,0,0,0,0
2025-08-05 02:05:10,0,0,0,0,0,0,0,0,21161,1,0,0,0,0,0,0,0,0,0,0,14575,114,27,0,0,0,0,0,0
2025-08-05 03:05:10,0,0,0,0,0,11,0,0,20156,1,0,0,2,2,0,0,3,0,0,0,14499,71,26,0,0,0,0,0,0
2025-08-05 06:26:11,0,0,1,0,0,0,0,0,0,0,0,0,27,21,0,0,16,67,0,16,326,16748,1,0,0,1,10,0,0
2025-08-05 07:26:11,401,194,6,0,5,304,9,0,37,1,0,0,194,111,0,0,89,69,0,53,96,1416,6,0,0,6,444,3,0
