record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-11 14:01:38,312,289,15,3,1,359,52,21,27,1,0,0,191,78,0,0,62,14,0,17,63,691,4,0,0,15,339,0,0
2025-07-11 15:06:36,8,1,6,0,0,3,2,1,1,0,0,0,54,19,0,0,19,10,0,4,4,41,1,0,0,6,47,0,0
2025-07-11 17:02:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 14:34:36,66,24,5,0,0,45,50,0,82,1,0,0,42,13,0,0,14,16,1,0,74,280,2,0,1,5,135,0,0
2025-07-13 15:57:34,3,0,4,0,0,0,0,0,0,0,0,0,26,4,0,0,5,6,0,3,4,26,0,1,0,4,44,0,0
2025-07-13 17:04:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 13:45:21,763,828,26,0,0,1191,399,17,125,1,0,4,310,156,8,8,70,69,0,14,253,2406,18,1,0,26,669,0,0
2025-07-14 17:51:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 15:23:00,106,0,9,0,0,0,19,33,0,0,0,7,147,89,0,0,22,33,0,47,102,337,25,1,0,9,47,1,0
2025-07-15 17:52:46,325,339,15,1,0,582,365,7,71,1,0,0,214,110,0,0,38,21,1,47,165,1756,28,1,1,15,450,39,0
2025-07-15 19:35:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 09:03:06,244,6,3,0,1,12,9,1,1,0,0,0,67,26,0,0,9,10,0,10,234,564,33,1,0,3,30,1,0
2025-07-16 10:18:28,240,0,2,0,0,0,0,0,0,0,0,0,118,81,0,0,38,50,0,24,237,515,19,0,0,2,23,0,0
2025-07-16 12:18:23,153,2,4,0,0,6,0,0,0,0,0,0,57,27,0,0,15,11,0,19,124,296,5,0,0,4,40,0,0
2025-07-16 14:22:12,109,0,9,0,0,0,0,0,0,0,0,0,43,32,0,0,12,4,0,0,108,255,18,1,0,9,33,0,0
2025-07-16 15:34:45,159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,175,350,15,0,0,0,0,0,0
2025-07-20 17:35:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-31 07:38:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
