record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-07 17:23:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-08 05:19:30,25,6,6,0,3,8,6,0,796,1,0,0,180,95,0,0,4,10,0,64,2330,15417,48,0,0,6,173,0,0
2025-07-08 16:34:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 04:06:40,0,0,77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,77,4,0,0
2025-07-11 05:06:46,4,0,5,0,6,0,0,0,3,0,0,0,50,16,0,0,10,4,0,0,0,30,0,0,0,5,144,0,0
2025-07-11 06:06:46,8,4,7,0,3,8,4,0,37,1,0,0,114,82,0,0,9,10,0,51,96,106,2,0,0,7,89,0,0
2025-07-11 07:06:51,87,30,26,0,23,60,27,2,280,1,0,0,257,142,0,0,57,126,1,108,1213,356,9,0,1,26,314,0,0
2025-07-11 08:21:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 17:08:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 02:44:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-15 17:02:30,23,7,12,0,17,12,11,0,201,1,0,0,151,81,0,0,44,30,0,27,3,291,4,0,0,12,949,0,0
2025-08-15 18:03:32,5,9,1,0,1,17,9,0,6,1,0,0,78,44,0,0,21,4,1,0,1,732,0,0,1,1,346,2,0
2025-08-15 19:03:32,72,51,12,2,12,75,44,0,599,1,0,0,113,45,0,0,26,8,0,82,75,486,5,0,0,12,1199,0,0
2025-08-15 20:27:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-16 07:36:27,42,20,32,0,0,64,25,3,1116,1,0,0,285,198,0,0,46,42,1,23,84,1047,12,0,1,32,958,3,0
2025-08-16 09:41:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
