record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-26 10:41:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 14:21:27,494,462,4,0,0,734,160,7,84,1,0,4,50,31,0,0,11,14,2,3,149,1320,3,1,2,4,605,0,0
2025-07-26 15:29:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-27 07:45:11,110,18,3,0,0,23,24,6,3,0,0,0,93,64,0,0,18,64,0,7,98,380,1,1,0,3,77,7,0
2025-07-27 09:05:35,144,117,1,0,0,191,118,8,0,0,0,2,32,13,0,0,0,61,0,16,142,760,1,0,0,1,34,0,0
2025-07-27 10:24:27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,170,340,2,0,0,0,0,0,0
2025-07-27 11:45:08,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,133,266,1,0,0,0,0,0,0
2025-07-27 13:01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0
2025-07-27 14:26:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0
2025-07-27 15:39:19,78,60,1,0,0,79,1,3,3,1,0,0,32,21,0,0,18,74,0,14,2,210,0,0,1,1,671,0,0
2025-07-27 18:29:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-28 13:50:52,611,638,10,0,5,687,114,7,5,1,0,0,429,348,0,0,33,17,0,10,135,1746,56,1,0,10,452,3,0
2025-07-28 15:21:37,421,287,1,0,2,383,71,5,58,1,0,0,282,217,0,0,20,0,0,22,283,1168,56,0,0,1,339,32,0
2025-07-28 17:16:22,555,1126,0,0,0,1235,1,5,7,1,0,0,39,25,0,0,4,5,0,5,198,2431,11,0,0,0,154,0,0
2025-07-28 23:26:12,512,103,0,0,0,127,2,0,11,1,0,0,25,18,0,0,0,0,0,0,44,343,2,0,0,0,60,0,0
2025-07-29 01:30:34,2095,1780,5,0,3,2208,1366,5,6,1,0,0,117,86,0,0,23,68,1,4,4,6334,19,1,1,5,529,0,0
2025-07-29 02:36:41,656,310,3,0,1,595,814,6,434,1,0,0,74,53,0,0,14,69,1,20,623,2548,30,0,1,3,411,0,0
2025-07-29 03:39:11,1160,1533,1,0,0,1749,1178,6,1,1,0,0,87,71,0,0,6,61,0,0,6,4752,6,0,0,1,544,12,0
2025-07-29 05:19:38,1379,908,1,0,4,1061,1507,41,13,1,0,0,91,53,0,0,2,2,0,70,14,4513,3,0,0,1,719,0,0
2025-07-29 07:58:50,561,3826,9,0,10,5110,230,1,607,1,0,0,109,72,0,0,23,6,1,19,775,7194,42,1,1,9,1141,0,0
2025-07-29 09:37:42,623,1579,9,0,6,2299,219,1,425,1,0,0,258,204,0,0,48,59,0,29,459,3219,49,0,0,9,569,0,0
2025-07-29 11:22:31,152,88,0,0,0,440,11,0,651,1,0,0,101,68,0,0,4,61,0,13,739,708,21,0,0,0,1148,0,0
2025-07-29 13:06:47,115,96,8,0,9,178,19,0,215,1,0,0,276,215,0,0,44,98,1,35,396,986,26,0,1,8,535,0,0
2025-07-29 14:40:55,2,0,2,0,0,0,2,0,0,0,0,0,73,59,0,0,22,63,0,2,176,427,13,0,0,2,272,2,0
2025-07-29 17:30:02,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,5,0,15,199,424,10,0,0,0,0,0,0
2025-07-29 18:30:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,620,14,0,0,0,0,0,0
2025-07-29 19:33:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,624,11,0,0,0,0,0,0
2025-07-29 20:37:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,447,7,0,0,0,0,0,0
2025-07-30 00:23:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-30 11:55:14,12,2,0,0,26,6,2,0,7,1,0,0,115,84,0,0,14,64,0,42,378,543,8,0,0,0,318,0,0
2025-07-30 14:44:28,130,0,2,0,4,6,0,0,5196,1,0,0,97,86,0,0,50,4,0,18,8889,161,49,1,0,2,177,0,0
2025-07-30 17:02:37,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,5,0,0,316,659,7,0,0,0,0,0,0
2025-07-30 18:55:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-30 23:45:00,0,0,2,0,0,0,0,0,0,0,0,0,24,19,0,0,3,2,0,2,285,599,12,0,0,2,20,0,0
2025-07-31 00:51:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,463,7,0,0,0,0,0,0
2025-07-31 02:04:16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,313,627,8,0,0,0,0,0,0
2025-07-31 03:29:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,638,8,0,0,0,0,0,0
2025-07-31 15:08:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,188,380,3,0,0,0,0,0,0
2025-08-01 02:53:33,425,340,8,0,6,474,684,42,363,1,0,0,287,224,2,5,16,61,1,34,433,2166,3,1,1,8,733,0,0
2025-08-01 03:55:50,274,225,4,0,0,313,690,5,93,1,0,0,69,16,15,15,4,64,0,0,39,1629,1,0,0,4,516,5,0
2025-08-01 05:02:37,83,46,8,0,3,84,310,14,30,1,0,0,41,11,4,2,5,2,0,4,194,1117,4,0,0,8,238,6,0
2025-08-01 07:18:04,266,297,7,0,20,365,1291,0,36,1,0,0,65,25,12,14,11,2,0,11,10,2739,0,1,0,7,512,19,0
2025-08-01 08:19:18,149,3,0,0,19,8,320,2,502,1,0,0,35,13,0,0,2,4,0,25,1057,426,6,0,0,0,232,0,0
2025-08-01 10:28:42,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,71,140,1,1,0,0,0,0,0
2025-08-01 11:42:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-01 17:23:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 00:41:08,69,19,3,0,2,29,206,5,188,1,0,0,98,74,3,6,18,26,0,27,373,458,4,0,0,3,134,1,0
2025-08-02 01:41:08,30,2,6,0,15,7,3,12,56,1,0,0,193,161,0,0,13,1,0,10,175,503,8,0,0,6,142,0,0
2025-08-02 02:41:08,0,0,2,0,16,0,0,0,2,1,0,0,44,24,0,0,6,0,0,21,223,508,6,0,0,2,12,0,0
2025-08-02 03:41:08,1,0,4,0,3,0,0,0,12,1,0,0,9,2,0,0,4,4,1,0,212,380,6,0,1,4,13,0,0
2025-08-02 05:46:06,3,0,3,0,0,0,0,0,0,0,0,0,70,59,0,0,12,12,0,0,287,627,8,1,0,3,25,0,0
2025-08-02 06:46:06,0,0,0,0,0,0,0,0,23,1,0,0,1,1,0,0,0,0,0,0,122,255,2,0,0,0,16,0,0
2025-08-02 07:46:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-08-02 08:46:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,66,1,0,0,0,0,0,0
2025-08-02 09:46:06,8,0,3,0,7,5,0,0,0,0,0,0,82,67,0,0,8,0,0,20,258,640,7,0,0,3,57,0,0
2025-08-02 10:46:06,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,291,585,6,0,0,0,0,0,0
2025-08-02 11:46:06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,636,8,0,0,0,0,0,0
2025-08-02 12:46:06,0,0,0,0,1,0,0,0,0,0,0,0,8,8,0,0,1,0,0,0,301,602,7,0,0,0,0,0,0
2025-08-02 14:07:21,0,0,0,0,1,0,0,0,0,0,0,0,6,3,0,0,0,3,0,1,289,588,6,1,0,0,0,0,0
2025-08-02 15:30:41,7,0,2,0,0,0,0,0,1,0,0,0,24,11,0,0,8,8,0,0,14,555,4,1,0,2,27,0,0
2025-08-02 17:14:16,17,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,2,0,0,373,588,6,0,0,0,0,0,0
2025-08-02 18:28:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 00:40:23,36,0,2,0,2,1,0,0,4991,1,0,0,34,25,0,0,4,5,0,0,5924,118,26,0,0,2,24,0,0
2025-08-03 01:40:23,2,0,0,0,0,0,0,0,2160,1,0,0,1,1,0,0,0,1,0,0,2761,502,14,0,0,0,11,0,0
2025-08-03 02:40:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,323,616,7,0,0,0,0,0,0
2025-08-03 03:40:23,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0,0,0,1,0,6,190,377,3,0,0,0,2,0,0
2025-08-03 05:03:58,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,1,3,0,6,326,672,5,0,0,0,2,0,0
2025-08-03 06:03:58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,287,578,5,0,0,0,0,0,0
2025-08-03 07:03:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,636,6,0,0,0,0,0,0
2025-08-03 08:03:58,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,57,74,1,0,0,0,0,0,0
2025-08-03 09:27:47,148,179,13,0,15,262,579,1,396,1,0,0,139,73,3,1,11,14,0,32,421,1438,7,0,0,13,565,0,0
2025-08-03 11:00:13,0,0,0,0,0,0,0,0,0,0,0,0,81,55,0,0,3,2,0,0,219,533,53,1,0,0,89,0,0
2025-08-03 12:00:13,0,0,2,0,4,2,1,0,134,1,0,0,87,58,0,0,6,6,0,0,402,590,38,0,0,2,458,0,0
2025-08-03 13:02:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 17:17:04,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,56,125,6,1,0,0,0,0,0
2025-08-03 19:17:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,392,15,0,0,0,0,0,0
2025-08-03 22:17:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2025-08-04 00:01:32,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,273,556,20,1,0,0,0,0,0
2025-08-04 11:14:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,119,240,8,0,0,0,0,0,0
2025-08-04 12:51:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 13:23:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
