record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-30 11:03:41,476,450,2,3,0,762,165,37,67,1,0,13,71,33,0,0,11,18,0,7,162,1213,14,1,0,2,365,0,0
2025-07-30 12:29:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 12:38:03,366,387,6,115,0,609,148,6,103,1,0,0,81,10,0,0,2,12,0,29,187,1276,8,0,0,6,542,6,0
2025-08-02 15:38:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 02:06:01,92,196,8,0,0,442,57,0,6,0,0,0,189,121,0,0,32,57,1,9,33,856,0,0,1,8,187,0,0
2025-08-03 03:06:01,0,5,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,170,0,0,0,0,0,0,0
2025-08-03 11:12:15,61,92,5,2,4,237,31,6,20,1,0,0,57,15,1,1,11,15,0,4,18,462,1,0,0,5,174,0,0
2025-08-03 13:05:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-04 03:00:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-04 06:07:42,267,892,7,0,4,988,175,0,32,1,0,0,44,7,15,0,13,18,1,16,57,1572,2,0,1,7,256,0,0
2025-08-04 07:07:42,881,766,9,0,4,1142,298,3,9,1,0,0,111,34,0,0,12,10,1,34,0,2237,2,0,1,9,1015,0,0
2025-08-04 08:07:41,363,246,17,0,10,350,169,7,17,1,0,0,142,56,0,0,37,4,1,43,0,1408,1,0,1,17,1595,0,0
2025-08-04 09:07:41,359,303,10,0,6,448,417,38,20,1,0,0,101,47,0,0,24,4,1,35,0,1479,0,0,1,10,668,0,0
2025-08-04 10:13:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 01:27:55,720,774,13,0,8,1131,346,2,4,1,0,0,171,45,4,4,19,21,2,21,0,2189,2,0,2,13,1121,0,0
2025-08-05 02:46:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 03:53:54,127,66,16,0,8,204,140,122,7,0,0,0,178,97,0,0,46,12,0,48,0,801,0,0,0,16,1044,0,0
2025-08-05 05:30:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 10:51:55,31,100,16,0,2,414,2,7,173,1,0,0,132,58,3,3,8,14,1,7,37,881,2,0,1,16,572,0,0
2025-08-05 12:55:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 05:39:23,33,60,19,0,9,295,32,15,10,1,0,0,70,27,0,0,11,6,1,10,0,634,0,0,1,19,902,0,0
2025-08-06 07:14:30,61,48,15,0,7,383,37,27,12,1,0,0,208,102,0,0,30,8,0,16,0,975,2,1,0,15,2074,0,0
2025-08-06 08:14:30,400,315,10,1,2,569,258,182,24,1,0,0,185,80,0,0,13,9,2,21,0,1307,1,0,2,10,623,0,0
2025-08-06 09:27:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 13:18:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
